title,platform,file_id,direct_url
Kirby's Dream Course,SNES,1eSN9Mb_Rg8ehaatAj4Ly-uJojEdPwFmU,https://drive.google.com/uc?export=download&id=1eSN9Mb_Rg8ehaatAj4Ly-uJojEdPwFmU
Kirby's Dream Land 3,SNES,1mBcErp5pZ7rhz6PlCGLyvVK6toqRrDTO,https://drive.google.com/uc?export=download&id=1mBcErp5pZ7rhz6PlCGLyvVK6toqRrDTO
Mario Is Missing!,SNES,10PRqet1nKJ9phcMYS7kI9utNgLI8iouA,https://drive.google.com/uc?export=download&id=10PRqet1nKJ9phcMYS7kI9utNgLI8iouA
Mario's Time Machine,SNES,1YvfXjZU29DXBqR9a_EMNLOx8ex8a--j2,https://drive.google.com/uc?export=download&id=1YvfXjZU29DXBqR9a_EMNLOx8ex8a--j2
Space Invaders,SNES,1v-V6i6xxPZ86iIuy68MiKiasOytSHuWK,https://drive.google.com/uc?export=download&id=1v-V6i6xxPZ86iIuy68MiKiasOytSHuWK
Star Fox 2,SNES,1hXp7lsh8PKCrqBWpffYYmbcifbVANLHz,https://drive.google.com/uc?export=download&id=1hXp7lsh8PKCrqBWpffYYmbcifbVANLHz
Star Fox,SNES,1rB5JqE4k-odWLQyN6oyI5EZBMmmvdNAB,https://drive.google.com/uc?export=download&id=1rB5JqE4k-odWLQyN6oyI5EZBMmmvdNAB
Super Bomberman 2,SNES,1rdbxmlPZU4gV5ENrlagUZc63gl9eXjOZ,https://drive.google.com/uc?export=download&id=1rdbxmlPZU4gV5ENrlagUZc63gl9eXjOZ
Super Bomberman,SNES,15Ar-AajRl3ulP4_XI64pEkfmQ1CC2W1Z,https://drive.google.com/uc?export=download&id=15Ar-AajRl3ulP4_XI64pEkfmQ1CC2W1Z
Super Mario All-Stars,SNES,1VIi6CQRoNPIFN9NFdtKwqZjVOpu6ObYX,https://drive.google.com/uc?export=download&id=1VIi6CQRoNPIFN9NFdtKwqZjVOpu6ObYX
Super Mario Kart,SNES,1tbBF8L73mY6ZAgrRMjuxpjnSoF4bBilb,https://drive.google.com/uc?export=download&id=1tbBF8L73mY6ZAgrRMjuxpjnSoF4bBilb
Super Mario RPG: Legend of the Seven Stars,SNES,1Rbbv_SPfeZcrP0LWHa9ZikxBdPKapqtv,https://drive.google.com/uc?export=download&id=1Rbbv_SPfeZcrP0LWHa9ZikxBdPKapqtv
Super Mario World 2: Yoshi's Island,SNES,1TCNiiADGk7LSaPH5vkP4aP_6ywD3x6OX,https://drive.google.com/uc?export=download&id=1TCNiiADGk7LSaPH5vkP4aP_6ywD3x6OX
Super Mario World,SNES,1USdTFKyxEbyZ-cI6aOZoccHPstDrt_wB,https://drive.google.com/uc?export=download&id=1USdTFKyxEbyZ-cI6aOZoccHPstDrt_wB
The Legend of Zelda: A Link to the Past,SNES,1fv7Qa9Vgv9yRtJR0lmcA5vCgl8TBqKHy,https://drive.google.com/uc?export=download&id=1fv7Qa9Vgv9yRtJR0lmcA5vCgl8TBqKHy
Wolfenstein 3D,SNES,1ZA0kx98XB_yaeOXUmzyw-8mmtDwV7zWs,https://drive.google.com/uc?export=download&id=1ZA0kx98XB_yaeOXUmzyw-8mmtDwV7zWs
Yoshi's Cookie,SNES,1N4o-GNxbKoLy2xokQhr7m4-kTLPlKVja,https://drive.google.com/uc?export=download&id=1N4o-GNxbKoLy2xokQhr7m4-kTLPlKVja
Yoshi's Safari,SNES,1qtYPn_4KSSIrhPjaAklpuvWpz4Ak4gtd,https://drive.google.com/uc?export=download&id=1qtYPn_4KSSIrhPjaAklpuvWpz4Ak4gtd
title,platform,file_id,direct_url
Danganronpa,PSP,1nZB6IrjL8MYab50rO9xxtSzouFwivaeE,https://drive.google.com/uc?export=download&id=1nZB6IrjL8MYab50rO9xxtSzouFwivaeE
GTA: Liberty City Stories,PSP,1D7Eb57Cs8b9M9sikv24DKIhAXpi4vR19,https://drive.google.com/uc?export=download&id=1D7Eb57Cs8b9M9sikv24DKIhAXpi4vR19
GTA: Vice City Stories,PSP,1EwCqHXlceeSjSpaEyl15_u5WkmDWY9No,https://drive.google.com/uc?export=download&id=1EwCqHXlceeSjSpaEyl15_u5WkmDWY9No
LittleBigPlanet (PSP),PSP,1RGmP3goB5QIZZMGvi3z-Mh5REgyVPD2s,https://drive.google.com/uc?export=download&id=1RGmP3goB5QIZZMGvi3z-Mh5REgyVPD2s
Ratchet & Clank: Size Matters,PSP,1-LhrJ50XaikVqyxgiOafZeAXjsXSK_qf,https://drive.google.com/uc?export=download&id=1-LhrJ50XaikVqyxgiOafZeAXjsXSK_qf
Persona 2: Innocent Sin,PSP,1KUF1rCUqVHqK4n3uXGZVZjCwn9VDrGE1,https://drive.google.com/uc?export=download&id=1KUF1rCUqVHqK4n3uXGZVZjCwn9VDrGE1
Persona 3 Portable,PSP,1Th7-juee2HFsQZ1mjSM9pE8POkVj00Xl,https://drive.google.com/uc?export=download&id=1Th7-juee2HFsQZ1mjSM9pE8POkVj00Xl
Persona (PSP),PSP,1dcDpMLtDf1jWhBSlY6zy2clqSwmotpBf,https://drive.google.com/uc?export=download&id=1dcDpMLtDf1jWhBSlY6zy2clqSwmotpBf
title,platform,file_id,direct_url
"Crash Bandicoot",PS1,"1ZnFoyS43UefP5wn7Lvc1wT33z7oKcACi,1L7WjQuTNYhOE6emINhxTw6yrdmcWVtny","https://drive.google.com/uc?export=download&id=1ZnFoyS43UefP5wn7Lvc1wT33z7oKcACi,https://drive.google.com/uc?export=download&id=1L7WjQuTNYhOE6emINhxTw6yrdmcWVtny"
"Crash Bandicoot: Warped",PS1,"17UwKDg8-tGJeHJlBqEvHT3plKl97aCJY,1DFmRpBuiQUjAd0tJFMdGW90K-YkB3OE7","https://drive.google.com/uc?export=download&id=17UwKDg8-tGJeHJlBqEvHT3plKl97aCJY,https://drive.google.com/uc?export=download&id=1DFmRpBuiQUjAd0tJFMdGW90K-YkB3OE7"
"Crash Bandicoot 2: Cortex Strikes Back",PS1,"1lOBM_2lhU7W6KuElkDdz-cmH_ehJyNUK,1lNXoeqqUGNs8y9vbZ4h-nEPFfvAu3Aor","https://drive.google.com/uc?export=download&id=1lOBM_2lhU7W6KuElkDdz-cmH_ehJyNUK,https://drive.google.com/uc?export=download&id=1lNXoeqqUGNs8y9vbZ4h-nEPFfvAu3Aor"
"Crash Team Racing (CTR)",PS1,"19I3g_WNJs0u2hwWO4FDbI-KeItg8XUud,1Fz_PmXJq5UYeGpdlYkEUm7DIrVze-aSU","https://drive.google.com/uc?export=download&id=19I3g_WNJs0u2hwWO4FDbI-KeItg8XUud,https://drive.google.com/uc?export=download&id=1Fz_PmXJq5UYeGpdlYkEUm7DIrVze-aSU"
"PaRappa the Rapper",PS1,"1kOx1lXnC0lKu6HGpjDEVjU_cx2rBBMPk,1B-lJynFTvu-vTNqe6t2VnFegCWOtGvyX","https://drive.google.com/uc?export=download&id=1kOx1lXnC0lKu6HGpjDEVjU_cx2rBBMPk,https://drive.google.com/uc?export=download&id=1B-lJynFTvu-vTNqe6t2VnFegCWOtGvyX"
title,platform,file_id,direct_url
Animal Crossing: New Leaf,3DS,1RzplePCBOjYW60pxkmPEmjkoMjmw92mx,https://drive.google.com/uc?export=download&id=1RzplePCBOjYW60pxkmPEmjkoMjmw92mx
Captain Toad: Treasure Tracker,3DS,1H_zlLNFqCbW3HkJyV7euASWdOUlrXjUS,https://drive.google.com/uc?export=download&id=1H_zlLNFqCbW3HkJyV7euASWdOUlrXjUS
Hey! Pikmin,3DS,1ht9IvXayCwSkyqSwc5kIkZUWQ3U0t5Yn,https://drive.google.com/uc?export=download&id=1ht9IvXayCwSkyqSwc5kIkZUWQ3U0t5Yn
Kirby: Planet Robobot,3DS,1_jTR5iUsx5e8wITlQ8NLfDjagvzB7f42,https://drive.google.com/uc?export=download&id=1_jTR5iUsx5e8wITlQ8NLfDjagvzB7f42
Kirby: Triple Deluxe,3DS,1oGC5cDal0zDSaMmRU_6ioANjQLaL_wXs,https://drive.google.com/uc?export=download&id=1oGC5cDal0zDSaMmRU_6ioANjQLaL_wXs
